,,,,Delay,,,,Loss,,,,Jitter,,,
File,Subnet,Num UE,Num RBs,Delay (mean),Delay (std),Delay (min),Delay (max),Loss (mean),Loss (std),Loss (min),Loss (max),Jitter (mean),Jitter (std),Jitter (min),Jitter (max)
D30sec_Rbs7_UE50.csv,VOIP,50,7,0.003784924,0.001702144,0.001474984,0.010043103,0.019755427,0.004037067,0.012395374,0.028435924,0.007241508,0.002638409,0.00437974,0.019292747
D30sec_Rbs8_UE50.csv,VOIP,50,8,0.003416919,0.001302691,0.001296768,0.006387447,0.015104637,0.003454839,0.009425428,0.023748478,0.007780398,0.002085786,0.0054665,0.014829961
D30sec_Rbs1_UE55.csv,VOIP,55,1,1.306492099,0.489189792,0.522538629,3.479725599,0.340119691,0.038579186,0.232456567,0.421741397,2.109689894,0.752174673,0.566501827,4.311813816
D30sec_Rbs2_UE55.csv,VOIP,55,2,0.381086468,0.142664845,0.205091972,0.758926767,0.246345986,0.026273198,0.19248238,0.30794677,0.530133301,0.202711336,0.234524063,1.129258813
D30sec_Rbs3_UE55.csv,VOIP,55,3,0.092691957,0.0212806,0.051575493,0.146384509,0.15219861,0.011609985,0.123146726,0.177413716,0.119890211,0.048519863,0.040067824,0.247161814
D30sec_Rbs4_UE55.csv,VOIP,55,4,0.019492219,0.005480182,0.009402388,0.033662712,0.09152066,0.007681012,0.078237335,0.110576099,0.018199291,0.008993742,0.005800486,0.047096422
D30sec_Rbs5_UE55.csv,VOIP,55,5,0.006813857,0.001947159,0.003309293,0.013186078,0.053794157,0.006254801,0.040590838,0.067781329,0.006873362,0.002477757,0.002903117,0.015365276
D30sec_Rbs6_UE55.csv,VOIP,55,6,0.004344838,0.001746297,0.001977235,0.008777491,0.03347421,0.004311755,0.024401118,0.043853744,0.005690965,0.002185929,0.003105686,0.011220578
D30sec_Rbs7_UE55.csv,VOIP,55,7,0.003765749,0.001605535,0.001598411,0.008606195,0.020442505,0.003948677,0.013218235,0.032067198,0.006629577,0.002028123,0.003856696,0.013311111
D30sec_Rbs8_UE55.csv,VOIP,55,8,0.003575583,0.001429454,0.001410064,0.008515492,0.015953492,0.003371584,0.009744233,0.022768965,0.0077968,0.002302547,0.004898748,0.016394432
D30sec_Rbs1_UE60.csv,VOIP,60,1,1.346680331,0.450374047,0.650772096,2.890930318,0.344276475,0.039837647,0.250596858,0.427898544,2.340287875,0.81758104,0.916496888,4.796367892
D30sec_Rbs2_UE60.csv,VOIP,60,2,0.485428191,0.198150131,0.234247025,1.383458071,0.26475999,0.029956303,0.221699273,0.344610619,0.724332299,0.349187671,0.275890914,2.422448341
D30sec_Rbs3_UE60.csv,VOIP,60,3,0.113683388,0.02537653,0.068598675,0.193184248,0.164570624,0.013161423,0.142036475,0.195372343,0.139030552,0.04616994,0.068163393,0.286994844
D30sec_Rbs4_UE60.csv,VOIP,60,4,0.032744398,0.008005884,0.018264423,0.054199695,0.109088565,0.008385204,0.086613605,0.127197349,0.030214417,0.012111783,0.01017822,0.060290992
D30sec_Rbs5_UE60.csv,VOIP,60,5,0.007703124,0.001991548,0.004171355,0.012713263,0.061178908,0.005945135,0.047614266,0.074024242,0.0067719,0.002680428,0.003158556,0.016239931
D30sec_Rbs6_UE60.csv,VOIP,60,6,0.004698007,0.001642032,0.002444712,0.011285476,0.038554363,0.00498841,0.028338712,0.050567044,0.005446706,0.001764612,0.003263063,0.010304679
D30sec_Rbs7_UE60.csv,VOIP,60,7,0.004234516,0.001837116,0.001794618,0.011033501,0.024821437,0.004587017,0.015986705,0.03768619,0.006519689,0.002530296,0.00350048,0.016386702
D30sec_Rbs8_UE60.csv,VOIP,60,8,0.003607079,0.001379631,0.001583982,0.008807645,0.017807434,0.003033095,0.011109358,0.027138906,0.007606142,0.002665907,0.004680006,0.016253495
D30sec_Rbs1_UE65.csv,VOIP,65,1,1.368028195,0.380296236,0.670593939,2.431309747,0.336059446,0.036962787,0.258072675,0.452767365,2.493203289,0.896842775,1.257327147,5.228759036
D30sec_Rbs2_UE65.csv,VOIP,65,2,0.612404683,0.204936647,0.307866432,1.322295063,0.280039116,0.033590149,0.196420694,0.388041907,0.951686318,0.365316848,0.424459127,2.008039614
D30sec_Rbs3_UE65.csv,VOIP,65,3,0.162418833,0.038632421,0.096273899,0.257224331,0.182320176,0.015119965,0.149605344,0.216285245,0.245917537,0.086758176,0.090167436,0.489582139
D30sec_Rbs4_UE65.csv,VOIP,65,4,0.053638903,0.015976206,0.030042832,0.092345104,0.125129036,0.009576252,0.106167951,0.153230524,0.058660324,0.031597669,0.018735693,0.172622668
D30sec_Rbs5_UE65.csv,VOIP,65,5,0.01259835,0.004741344,0.006179776,0.031311862,0.076385693,0.007077607,0.058297849,0.091674936,0.011771093,0.007087844,0.004456294,0.040331734
D30sec_Rbs6_UE65.csv,VOIP,65,6,0.005662535,0.001771621,0.002444481,0.011462717,0.046406707,0.005709976,0.034859404,0.061744044,0.005639001,0.002163062,0.003119002,0.015936448
D30sec_Rbs7_UE65.csv,VOIP,65,7,0.004616458,0.002116751,0.002416389,0.012847186,0.028375085,0.004370241,0.017779132,0.04082407,0.006690465,0.003717159,0.003657787,0.026258789
D30sec_Rbs8_UE65.csv,VOIP,65,8,0.004417746,0.00173669,0.001959376,0.010204211,0.021162596,0.003757722,0.011985647,0.032240628,0.008103573,0.003273347,0.004249614,0.022080653
D30sec_Rbs1_UE70.csv,VOIP,70,1,1.366083064,0.384896345,0.710084543,2.198986756,0.348394343,0.04026671,0.267770654,0.464523936,2.653045358,0.930670512,1.21505676,5.43710498
D30sec_Rbs2_UE70.csv,VOIP,70,2,0.695404764,0.275968817,0.334322558,1.666227898,0.291299915,0.033517051,0.228498543,0.394192087,1.123827596,0.463341182,0.368349913,2.627191693
D30sec_Rbs3_UE70.csv,VOIP,70,3,0.193774835,0.045150684,0.126564905,0.323890272,0.196912438,0.016445257,0.166662098,0.239363051,0.266798579,0.096320336,0.137370263,0.599754056
D30sec_Rbs4_UE70.csv,VOIP,70,4,0.070453432,0.017269723,0.034632354,0.122576234,0.139305484,0.01127379,0.105935731,0.172954224,0.07337851,0.032585804,0.025081183,0.182344045
D30sec_Rbs6_UE70.csv,VOIP,70,6,0.006707403,0.001959952,0.003893968,0.012935113,0.055175449,0.006149864,0.040596653,0.073723318,0.005966622,0.002294138,0.003050757,0.01375316
D30sec_Rbs7_UE70.csv,VOIP,70,7,0.005131221,0.001532488,0.001999857,0.009232983,0.034897933,0.004293135,0.02669263,0.047962278,0.006253936,0.002066212,0.003580341,0.014101402
D30sec_Rbs8_UE70.csv,VOIP,70,8,0.004194058,0.001412061,0.001590218,0.008099239,0.023841825,0.003433108,0.015531409,0.031941491,0.006608686,0.002026857,0.004065372,0.014839998
D30sec_Rbs5_UE70.csv,VOIP,70,5,0.020418937,0.006772224,0.0093343,0.041820143,0.090159243,0.007475901,0.070931381,0.107184739,0.01991786,0.0109253,0.006144608,0.057017719
D30sec_Rbs1_UE75.csv,VOIP,75,1,1.487817828,0.448967815,0.806819461,3.133988199,0.352494056,0.043773981,0.2526208,0.460555406,2.741608351,0.921067082,1.296261718,5.225615611
D30sec_Rbs2_UE75.csv,VOIP,75,2,0.843812309,0.324459429,0.335784457,1.856047063,0.298101157,0.035495,0.20955916,0.416138066,1.358084859,0.54020757,0.544078965,3.046638522
D30sec_Rbs3_UE75.csv,VOIP,75,3,0.237689241,0.073429146,0.131355603,0.468774227,0.208800687,0.019555417,0.155526718,0.283701026,0.345856794,0.130877896,0.113118364,0.801030123
D30sec_Rbs4_UE75.csv,VOIP,75,4,0.091074536,0.025403866,0.049160862,0.159186649,0.15094894,0.01058972,0.119140793,0.176580068,0.117363553,0.060851447,0.036642347,0.337309701
D30sec_Rbs5_UE75.csv,VOIP,75,5,0.031339316,0.00816148,0.01616162,0.056687375,0.104031872,0.008199168,0.085327211,0.121204966,0.031868789,0.014630895,0.009154232,0.067397908
D30sec_Rbs6_UE75.csv,VOIP,75,6,0.009418126,0.003702458,0.004826646,0.021507631,0.064049155,0.006577188,0.051572063,0.079022654,0.009785951,0.008146721,0.003062987,0.052123514
D30sec_Rbs7_UE75.csv,VOIP,75,7,0.005304213,0.001617928,0.00308022,0.009499438,0.039964055,0.005277456,0.030243017,0.05853501,0.006209127,0.002310042,0.003241571,0.014685443
D30sec_Rbs8_UE75.csv,VOIP,75,8,0.004722508,0.002006299,0.002212414,0.011437895,0.027166502,0.004201333,0.019249559,0.039944873,0.006594534,0.002063883,0.003806509,0.012062654
D30sec_Rbs1_UE80.csv,VOIP,80,1,1.487366227,0.418038303,0.643843182,2.713370807,0.35398895,0.042298564,0.263390501,0.461490546,2.876222909,0.892684318,1.427283333,5.914261267
D30sec_Rbs2_UE80.csv,VOIP,80,2,0.935228706,0.346730962,0.378251874,2.006543355,0.314164072,0.036407745,0.24237727,0.428848103,1.525886299,0.601063746,0.600759814,3.784004827
D30sec_Rbs3_UE80.csv,VOIP,80,3,0.319504788,0.09913744,0.175264235,0.770456106,0.230363996,0.024405345,0.189719859,0.29413209,0.481812482,0.199219086,0.190901266,1.232517878
D30sec_Rbs4_UE80.csv,VOIP,80,4,0.114317603,0.030172392,0.065012787,0.230629784,0.161318628,0.012545507,0.129182384,0.192915987,0.148705191,0.068149127,0.064701443,0.429104148
D30sec_Rbs5_UE80.csv,VOIP,80,5,0.044024017,0.014002739,0.020929097,0.093514582,0.118959828,0.010139236,0.099676907,0.145321034,0.051171808,0.036903788,0.012460573,0.266867241
D30sec_Rbs6_UE80.csv,VOIP,80,6,0.014796115,0.004836646,0.007100717,0.031217795,0.076532766,0.006758529,0.063210298,0.094871338,0.012887357,0.008242987,0.005246247,0.05043087
D30sec_Rbs7_UE80.csv,VOIP,80,7,0.005725789,0.001682713,0.003123871,0.010451653,0.046873569,0.004611757,0.035442264,0.059373321,0.005668842,0.001814334,0.003330159,0.011368037
D30sec_Rbs8_UE80.csv,VOIP,80,8,0.004685467,0.001845683,0.002544472,0.010918938,0.030847294,0.003782905,0.022540034,0.04058716,0.006062759,0.002282833,0.003333327,0.014202744
